Until epoch,Estimated date,Reward per epoch %,Estimated annualized rewards %
1170,2020-11-16T15:11:11.000Z,0.002081,19.9967
4842,2021-04-18T15:11:11.000Z,0.002081,19.9967
4866,2021-04-19T15:11:11.000Z,0.002080,19.9861
4890,2021-04-20T15:11:11.000Z,0.002079,19.9756
4914,2021-04-21T15:11:11.000Z,0.002078,19.9651
4938,2021-04-22T15:11:11.000Z,0.002076,19.9441
4962,2021-04-23T15:11:11.000Z,0.002075,19.9336
4986,2021-04-24T15:11:11.000Z,0.002073,19.9126
5010,2021-04-25T15:11:11.000Z,0.002071,19.8916
5034,2021-04-26T15:11:11.000Z,0.002069,19.8706
5058,2021-04-27T15:11:11.000Z,0.002067,19.8496
5082,2021-04-28T15:11:11.000Z,0.002065,19.8286
5106,2021-04-29T15:11:11.000Z,0.002063,19.8076
5130,2021-04-30T15:11:11.000Z,0.002060,19.7761
5154,2021-05-01T15:11:11.000Z,0.002057,19.7446
5178,2021-05-02T15:11:11.000Z,0.002054,19.7132
5202,2021-05-03T15:11:11.000Z,0.002050,19.6712
5226,2021-05-04T15:11:11.000Z,0.002046,19.6293
5250,2021-05-05T15:11:11.000Z,0.002041,19.5769
5274,2021-05-06T15:11:11.000Z,0.002036,19.5246
5298,2021-05-07T15:11:11.000Z,0.002030,19.4618
5322,2021-05-08T15:11:11.000Z,0.002024,19.3990
5346,2021-05-09T15:11:11.000Z,0.002017,19.3258
5370,2021-05-10T15:11:11.000Z,0.002008,19.2318
5394,2021-05-11T15:11:11.000Z,0.001999,19.1378
5418,2021-05-12T15:11:11.000Z,0.001988,19.0231
5442,2021-05-13T15:11:11.000Z,0.001975,18.8876
5466,2021-05-14T15:11:11.000Z,0.001961,18.7419
5490,2021-05-15T15:11:11.000Z,0.001945,18.5756
5514,2021-05-16T15:11:11.000Z,0.001927,18.3888
5538,2021-05-17T15:11:11.000Z,0.001909,18.2022
5562,2021-05-18T15:11:11.000Z,0.001889,17.9953
5586,2021-05-19T15:11:11.000Z,0.001870,17.7991
5610,2021-05-20T15:11:11.000Z,0.001851,17.6032
5634,2021-05-21T15:11:11.000Z,0.001834,17.4282
5658,2021-05-22T15:11:11.000Z,0.001818,17.2637
5682,2021-05-23T15:11:11.000Z,0.001803,17.1098
5706,2021-05-24T15:11:11.000Z,0.001791,16.9867
5730,2021-05-25T15:11:11.000Z,0.001779,16.8638
5754,2021-05-26T15:11:11.000Z,0.001769,16.7615
5778,2021-05-27T15:11:11.000Z,0.001761,16.6797
5802,2021-05-28T15:11:11.000Z,0.001753,16.5979
5826,2021-05-29T15:11:11.000Z,0.001747,16.5367
5850,2021-05-30T15:11:11.000Z,0.001741,16.4754
5874,2021-05-31T15:11:11.000Z,0.001736,16.4244
5898,2021-06-01T15:11:11.000Z,0.001731,16.3735
5922,2021-06-02T15:11:11.000Z,0.001727,16.3327
5946,2021-06-03T15:11:11.000Z,0.001723,16.2919
5970,2021-06-04T15:11:11.000Z,0.001720,16.2614
5994,2021-06-05T15:11:11.000Z,0.001717,16.2308
6018,2021-06-06T15:11:11.000Z,0.001714,16.2003
6042,2021-06-07T15:11:11.000Z,0.001711,16.1698
6066,2021-06-08T15:11:11.000Z,0.001709,16.1494
6090,2021-06-09T15:11:11.000Z,0.001707,16.1291
6114,2021-06-10T15:11:11.000Z,0.001705,16.1087
6138,2021-06-11T15:11:11.000Z,0.001703,16.0884
6162,2021-06-12T15:11:11.000Z,0.001701,16.0680
6186,2021-06-13T15:11:11.000Z,0.001700,16.0579
6210,2021-06-14T15:11:11.000Z,0.001698,16.0375
6234,2021-06-15T15:11:11.000Z,0.001697,16.0274
6258,2021-06-16T15:11:11.000Z,0.001696,16.0172
9234,2021-10-18T15:11:11.000Z,0.001694,15.9969
9258,2021-10-19T15:11:11.000Z,0.001693,15.9867
9282,2021-10-20T15:11:11.000Z,0.001692,15.9766
9306,2021-10-21T15:11:11.000Z,0.001690,15.9562
9330,2021-10-22T15:11:11.000Z,0.001689,15.9461
